#45#
[PARK]
2026-08-01 01:51:14,1975.50,0.000104,0.025499,2.092183,0.000105,0.023669,2.091614,0.000001,0.010515,0.020014
2026-08-01 13:51:16,1986.00,0.000101,0.031280,2.097625,0.000101,0.031731,2.095993,0.000000,0.009719,0.020272
2026-08-02 01:51:17,1986.90,0.000103,0.027975,2.100494,0.000103,0.028277,2.101194,0.000001,0.008714,0.015531
2026-08-02 13:51:16,1985.50,0.000099,0.029153,2.102095,0.000099,0.029275,2.106301,0.000000,0.009987,0.020059
2026-08-03 01:51:18,1985.80,0.000101,0.029618,2.097740,0.000101,0.030088,2.099686,0.000001,0.010462,0.015065
2026-08-03 13:51:17,1988.80,0.000100,0.023746,2.106475,0.000100,0.023516,2.105074,0.000000,0.011574,0.018740
2026-08-04 01:51:18,1987.30,0.000103,0.027951,2.103024,0.000103,0.028401,2.104882,0.000000,0.009114,0.015033
2026-08-04 13:51:18,1988.70,0.000102,0.025420,2.101742,0.000102,0.024904,2.107558,0.000000,0.008974,0.018773
2026-08-05 01:51:21,1988.70,0.000104,0.030522,2.097836,0.000104,0.030239,2.102433,0.000000,0.009775,0.020614
2026-08-05 13:51:20,1988.40,0.000103,0.027740,2.101138,0.000103,0.027736,2.099913,0.000001,0.009730,0.013474
2026-08-06 01:51:23,1989.20,0.000100,0.029868,2.100651,0.000100,0.030554,2.102251,0.000000,0.008579,0.016035
[ASCENT]
(RW)
2026-08-06 05:42:29,1991.30,0.000100,0.027464,2.104327,0.000100,0.026120,2.105138,0.000000,0.009810,0.022449
2026-08-06 05:45:49,1987.00,0.000104,0.027937,2.103023,0.000104,0.026200,2.103904,0.000002,0.012030,0.017729
2026-08-06 05:49:09,1968.30,0.000117,0.029485,2.093878,0.000109,0.029619,2.095925,0.000018,0.008926,0.019412
2026-08-06 05:52:29,1949.00,0.000105,0.030312,2.093233,0.000105,0.029037,2.092653,0.000002,0.009808,0.021015
2026-08-06 05:55:49,1930.50,0.000102,0.030610,2.089970,0.000102,0.029307,2.087085,0.000001,0.008084,0.017268
2026-08-06 05:59:09,1912.30,0.000104,0.030006,2.089108,0.000103,0.029792,2.093100,0.000002,0.007813,0.021997
2026-08-06 06:02:29,1894.80,0.000124,0.027699,2.086861,0.000105,0.027456,2.085813,0.000060,0.010267,0.017197
2026-08-06 06:05:49,1878.10,0.000102,0.030318,2.086274,0.000102,0.030994,2.085318,0.000001,0.009823,0.018125
2026-08-06 06:09:09,1860.90,0.000105,0.027098,2.079060,0.000104,0.024776,2.079016,0.000002,0.011416,0.021050
2026-08-06 06:12:29,1838.90,0.000107,0.026759,2.072055,0.000105,0.025601,2.067763,0.000009,0.009828,0.019141
2026-08-06 06:15:49,1817.70,0.000107,0.029262,2.071354,0.000108,0.028890,2.072667,0.000003,0.008810,0.020909
2026-08-06 06:19:09,1796.80,0.000103,0.027998,2.068375,0.000103,0.028876,2.068511,0.000001,0.010934,0.016982
2026-08-06 06:22:29,1776.40,0.000104,0.033495,2.064709,0.000104,0.032656,2.062935,0.000003,0.008772,0.017393
2026-08-06 06:25:49,1756.60,0.000103,0.029833,2.057428,0.000103,0.028505,2.058351,0.000001,0.009547,0.016988
2026-08-06 06:29:09,1736.70,0.000105,0.028929,2.051531,0.000105,0.028190,2.050526,0.000002,0.008855,0.017812
2026-08-06 06:32:29,1717.90,0.000104,0.030781,2.047225,0.000103,0.027342,2.049444,0.000002,0.010101,0.018168
2026-08-06 06:35:49,1699.90,0.000105,0.030993,2.046141,0.000105,0.030311,2.044432,0.000001,0.010734,0.014185
2026-08-06 06:39:09,1682.40,0.000104,0.030040,2.041450,0.000104,0.029146,2.041963,0.000002,0.011774,0.014963
